run,region,layer,chamber,status,total,passed,eff,eff_low,eff_up
342810,-1,1,7,1,371,243,0.6549865229110512,0.6285373011159334,0.680555355237197
342810,-1,1,8,1,618,499,0.8074433656957929,0.7902489506101723,0.8235922052128326
342810,-1,1,9,1,369,243,0.6585365853658537,0.632061733875954,0.6841057655767246
342810,-1,1,10,1,800,704,0.88,0.8673790636836708,0.8916191336712044
342810,-1,1,11,1,370,0,0.0,0.0,0.004966008635346475
342810,-1,1,12,0,683,0,0.0,0.0,0.0
342810,-1,1,13,1,311,244,0.7845659163987139,0.7586845295769336,0.8084933538091074
342810,-1,1,14,0,330,0,0.0,0.0,0.0
342810,-1,1,15,0,248,0,0.0,0.0,0.0
342810,-1,1,16,1,313,0,0.0,0.0,0.005867703604063969
342810,-1,1,17,1,119,0,0.0,0.0,0.015359813420615062
342810,-1,1,18,1,206,0,0.0,0.0,0.00890189233695063
342810,-1,1,19,1,73,0,0.0,0.0,0.024917197651873915
342810,-1,1,20,1,220,3,0.013636363636363636,0.0062210076948909605,0.026730193771828503
342810,-1,1,21,1,206,0,0.0,0.0,0.00890189233695063
342810,-1,1,22,1,415,326,0.7855421686746988,0.7634671696228273,0.8061597022008178
342810,-1,1,23,1,338,300,0.8875739644970414,0.8676620153089978,0.9049974965852505
342810,-1,1,24,1,700,546,0.78,0.7632092222369626,0.7959542977481678
342810,-1,1,25,1,478,405,0.8472803347280334,0.8290071118496004,0.8640087646348363
342810,-1,1,26,1,800,662,0.8275,0.813085077781131,0.8410577757057602
342810,-1,1,27,1,540,425,0.7870370370370371,0.7679353839744708,0.805020035334932
342810,-1,1,28,1,921,0,0.0,0.0,0.0019980020756589934
342810,-1,1,29,2,477,0,0.0,0.0,0.0
342810,-1,1,30,1,661,24,0.036308623298033284,0.02903078319984743,0.045135399710638846
342810,-1,1,31,1,399,0,0.0,0.0,0.0046059032162875605
342810,-1,1,32,1,542,0,0.0,0.0,0.0033927567999576637
342810,-1,1,33,1,251,0,0.0,0.0,0.007311786022457537
342810,-1,1,34,1,318,244,0.7672955974842768,0.7411494785196854,0.7916510591184658
342810,-1,1,35,1,137,107,0.781021897810219,0.7398804315523362,0.8176545403914458
342810,-1,1,36,1,186,145,0.7795698924731183,0.7449072910320857,0.810968913580079
342810,-1,2,1,1,103,32,0.3106796116504854,0.2624660388867844,0.3629383924030648
342810,-1,2,2,1,136,107,0.7867647058823529,0.7457389119218989,0.8231500716653087
342810,-1,2,3,1,157,128,0.8152866242038217,0.778980553723014,0.847177612028131
342810,-1,2,4,1,364,306,0.8406593406593407,0.8191032217705373,0.8602113529172032
342810,-1,2,5,1,252,138,0.5476190476190477,0.5141302387913735,0.5807066832009192
342810,-1,2,6,0,566,0,0.0,0.0,0.0
342810,-1,2,7,1,386,281,0.727979274611399,0.7034232307330555,0.7512874803622787
342810,-1,2,8,1,666,546,0.8198198198198198,0.8036695438525471,0.8349613170070862
342810,-1,2,9,2,383,244,0.0,0.0,0.0
342810,-1,2,10,1,831,749,0.901323706377858,0.8898583812974531,0.9117668063561097
342810,-1,2,11,1,384,0,0.0,0.0,0.0047853901461418925
342810,-1,2,12,1,729,642,0.8806584362139918,0.8674074699643869,0.8928053630830619
342810,-1,2,13,1,337,251,0.744807121661721,0.7188207850435528,0.7692513813564692
342810,-1,2,14,1,340,65,0.19117647058823528,0.1693594426333326,0.214933491317418
342810,-1,2,15,1,258,212,0.8217054263565892,0.7946087300222797,0.8461097090430159
