run,duration,hv,region,station,layer,chamber,online_report,has_dc,is_good,total,passed,eff,eff_low,eff_up
343387,11.116666666666667,690,-1,1,2,6,1,True,True,104,82,0.7884615384615384,0.7406695885764601,0.8300739509160271
343387,11.116666666666667,690,-1,1,2,7,1,True,True,78,52,0.6666666666666666,0.6048699979917755,0.7237129258260733
343387,11.116666666666667,690,-1,1,2,8,0,True,False,120,0,0.0,0.0,0.015232794871566356
343387,11.116666666666667,690,-1,1,2,9,1,True,True,66,29,0.4393939393939394,0.37228599062758916,0.5085472610344179
343387,11.116666666666667,690,-1,1,2,10,1,True,True,151,129,0.8543046357615894,0.8197117079182296,0.8836814021355035
343387,11.116666666666667,690,-1,1,2,11,0,True,False,96,0,0.0,0.0,0.019004598648003267
343387,11.116666666666667,690,-1,1,2,12,1,True,True,148,103,0.6959459459459459,0.6534298576370592,0.7355876181169133
343387,11.116666666666667,690,-1,1,2,13,1,True,True,97,73,0.7525773195876289,0.7009183544144947,0.7984501332247056
343387,11.116666666666667,690,-1,1,2,14,0,True,False,100,0,0.0,0.0,0.01825139539231782
343387,11.116666666666667,690,-1,1,2,15,1,True,True,57,49,0.8596491228070176,0.7977072098043443,0.9067361208843978
343387,11.116666666666667,690,-1,1,2,16,1,True,True,67,26,0.3880597014925373,0.3234315577028002,0.45641430046518194
343387,11.116666666666667,690,-1,1,2,17,1,True,True,21,17,0.8095238095238095,0.6842733312876511,0.8983777449528144
343387,11.116666666666667,690,-1,1,2,18,1,True,True,47,38,0.8085106382978723,0.7333805775578925,0.8682937494746568
343387,11.116666666666667,690,-1,1,2,19,1,True,True,30,20,0.6666666666666666,0.5592906136930395,0.7610716676552914
343387,11.116666666666667,690,-1,1,2,20,1,True,False,48,36,0.75,0.6717868000712536,0.8162216076475827
343387,11.116666666666667,690,-1,1,2,21,1,True,False,34,22,0.6470588235294118,0.5469204785937356,0.7371899491468231
343387,11.116666666666667,690,-1,1,2,22,1,True,True,65,57,0.8769230769230769,0.8218096184130262,0.9183853434920618
343387,11.116666666666667,690,-1,1,2,23,1,True,True,46,44,0.9565217391304348,0.9020066565041052,0.9845644752117811
343387,11.116666666666667,690,-1,1,2,24,1,True,False,85,65,0.7647058823529411,0.7095710313553049,0.8128645430943128
343387,11.116666666666667,690,-1,1,2,25,1,True,True,62,52,0.8387096774193549,0.7778744896864778,0.8868624859776925
343387,11.116666666666667,690,-1,1,2,26,1,True,True,106,97,0.9150943396226415,0.878708464654076,0.9423354874289629
343387,11.116666666666667,690,-1,1,2,27,1,True,True,93,59,0.6344086021505376,0.5777844097810875,0.6878508802757971
343387,11.116666666666667,690,-1,1,2,28,1,True,True,136,93,0.6838235294117647,0.6389383617749373,0.7257676438186682
343387,11.116666666666667,690,-1,1,2,29,0,True,False,81,0,0.0,0.0,0.022484127307382563
343387,11.116666666666667,690,-1,1,2,30,1,True,True,105,88,0.8380952380952381,0.7938600643255053,0.875076896759713
343387,11.116666666666667,690,-1,1,2,31,1,True,True,61,51,0.8360655737704918,0.7743688805723711,0.8849719791700174
343387,11.116666666666667,690,-1,1,2,32,2,True,False,89,75,0.8426966292134831,0.7942382550748986,0.8823913866048732
343387,11.116666666666667,690,-1,1,2,33,0,True,False,53,0,0.0,0.0,0.03415772057646864
343387,11.116666666666667,690,-1,1,2,34,1,True,True,66,56,0.8484848484848485,0.7908732580479712,0.8938409737133823
343387,11.116666666666667,690,-1,1,2,35,1,True,True,25,15,0.6,0.4800017579076223,0.710621679378076
343387,11.116666666666667,690,-1,1,2,36,1,True,True,39,30,0.7692307692307693,0.6818116384786466,0.8404953833752997
343034,12.688611111111111,690,1,1,1,1,1,True,True,22,18,0.8181818181818182,0.6975286964599433,0.9031068775800005
343034,12.688611111111111,690,1,1,1,2,0,True,False,43,0,0.0,0.0,0.041932673453114626
343034,12.688611111111111,690,1,1,1,3,1,True,True,44,27,0.6136363636363636,0.5269521483804068,0.6944416854717952
343034,12.688611111111111,690,1,1,1,4,1,True,True,70,55,0.7857142857142857,0.7252086635917493,0.8369489421290098
343034,12.688611111111111,690,1,1,1,5,1,True,True,64,51,0.796875,0.7338157307107647,0.8493192111559713
343034,12.688611111111111,690,1,1,1,6,1,True,True,119,97,0.8151260504201681,0.7724906615274371,0.8518671912636213
343034,12.688611111111111,690,1,1,1,7,1,True,False,106,57,0.5377358490566038,0.4844466057128309,0.5902478733712593
343034,12.688611111111111,690,1,1,1,8,1,True,True,138,101,0.7318840579710145,0.6888322597981985,0.7712663891267273
343034,12.688611111111111,690,1,1,1,9,1,True,True,116,84,0.7241379310344828,0.6763678970464311,0.7676623601412583
343034,12.688611111111111,690,1,1,1,10,1,True,True,189,158,0.8359788359788359,0.8044809562770927,0.8635819695046432
343034,12.688611111111111,690,1,1,1,11,1,True,True,87,34,0.39080459770114945,0.33445466717484784,0.44992194537311736
343034,12.688611111111111,690,1,1,1,12,2,True,False,80,51,0.6375,0.575963105263266,0.6952279172830103
343034,12.688611111111111,690,1,1,1,13,0,True,False,76,0,0.0,0.0,0.023945497230986476
343034,12.688611111111111,690,1,1,1,14,0,True,False,73,0,0.0,0.0,0.024917197651873915
343034,12.688611111111111,690,1,1,1,15,1,True,True,43,34,0.7906976744186046,0.709859955052478,0.8557235443560369
343034,12.688611111111111,690,1,1,1,16,1,True,True,49,25,0.5102040816326531,0.4292479683703646,0.5906902727661056
343034,12.688611111111111,690,1,1,1,17,1,True,True,14,6,0.42857142857142855,0.2739427906963793,0.595522822209043
343034,12.688611111111111,690,1,1,1,18,1,True,True,25,18,0.72,0.6020395574955099,0.8170221416808046
343034,12.688611111111111,690,1,1,1,19,1,True,True,16,14,0.875,0.7332384158060439,0.9553380210636175
343034,12.688611111111111,690,1,1,1,20,2,True,False,14,8,0.5714285714285714,0.4044771777909571,0.7260572093036207
343034,12.688611111111111,690,1,1,1,21,0,True,False,11,0,0.0,0.0,0.15418499016803872
343034,12.688611111111111,690,1,1,1,22,1,True,True,62,55,0.8870967741935484,0.8315561658509053,0.9278027889992749
343034,12.688611111111111,690,1,1,1,23,0,True,False,43,0,0.0,0.0,0.041932673453114626
343034,12.688611111111111,690,1,1,1,24,1,True,True,113,91,0.8053097345132744,0.760745844571918,0.8438577315558963
343034,12.688611111111111,690,1,1,1,25,1,True,True,85,72,0.8470588235294118,0.7976112621601588,0.8871757968078586
343034,12.688611111111111,690,1,1,1,26,1,True,False,146,80,0.547945205479452,0.5031143179316582,0.5920672372168294
343034,12.688611111111111,690,1,1,1,27,2,True,False,116,68,0.5862068965517241,0.5355605062214434,0.6352345744685196
343034,12.688611111111111,690,1,1,1,28,1,True,False,198,154,0.7777777777777778,0.744234821269293,0.8082822556227199
343034,12.688611111111111,690,1,1,1,29,1,True,True,129,112,0.8682170542635659,0.831386087590491,0.8986233805683004
343034,12.688611111111111,690,1,1,1,30,1,True,True,143,99,0.6923076923076923,0.6488740680592558,0.7328187540683526
343034,12.688611111111111,690,1,1,1,31,1,True,True,78,68,0.8717948717948718,0.8221147572764568,0.9104152912002779
343034,12.688611111111111,690,1,1,1,32,1,True,True,94,53,0.5638297872340425,0.5069108232363091,0.6192585816860456
343034,12.688611111111111,690,1,1,1,33,1,True,True,48,40,0.8333333333333334,0.761423097532521,0.8888907031321294
343034,12.688611111111111,690,1,1,1,34,1,True,True,47,29,0.6170212765957447,0.5335651904310903,0.6948274292639478
343034,12.688611111111111,690,1,1,1,35,1,True,True,39,30,0.7692307692307693,0.6818116384786466,0.8404953833752997
343034,12.688611111111111,690,1,1,1,36,1,True,True,44,35,0.7954545454545454,0.7161192256606631,0.8590861425390666
343034,12.688611111111111,690,1,1,2,1,1,True,True,23,18,0.782608695652174,0.6622208255419948,0.8731389070039943
343034,12.688611111111111,690,1,1,2,2,0,True,False,41,0,0.0,0.0,0.043932580561221526
343034,12.688611111111111,690,1,1,2,3,1,True,True,49,25,0.5102040816326531,0.4292479683703646,0.5906902727661056
343034,12.688611111111111,690,1,1,2,4,1,True,True,68,39,0.5735294117647058,0.5055059597695061,0.6391466054253891
343034,12.688611111111111,690,1,1,2,5,1,True,True,64,49,0.765625,0.7005468962284636,0.8212690456464082
343034,12.688611111111111,690,1,1,2,6,1,True,True,116,97,0.8362068965517241,0.7943738475908211,0.8715473086772099
